vehicle_id,step,node,x,y
3,0,0,0.0,0.0
3,1,31,-1.7183833650339757,-5.090362477184898
3,2,32,-4.5059321606884595,2.3450554194833266
3,3,33,-6.430791785585495,-7.610349913384457
3,4,34,-0.8853028263792346,-6.7012438684073565
3,5,35,2.9744966243245408,6.421113487229938
3,6,36,5.5502277875079855,-0.39733219551304977
3,7,37,-3.048574875583661,-1.3057890201113125
3,8,38,-9.899828501813033,4.251464015792747
3,9,39,-3.3668555472900907,-3.611535244789321
3,10,40,-8.40149935159575,-1.038881479979679
3,11,0,0.0,0.0
