vehicle_id,step,node,x,y
2,0,0,0.0,0.0
2,1,21,-6.8716216322518715,-5.51402062627917
2,2,22,-1.7425958457031854,-9.26150261882742
2,3,23,-0.06793002766903555,6.359657288592636
2,4,24,3.1578187751821822,0.669674713055441
2,5,25,7.102514815472002,-7.00623730057197
2,6,26,1.344709537262478,-2.516503645038222
2,7,27,2.0260909422727895,-7.7416859621112755
2,8,28,5.510254021456557,-8.067883336312946
2,9,29,-6.672725084135049,6.148995040495112
2,10,30,8.953878484469815,-1.3353699489702837
2,11,0,0.0,0.0
